PROJ_NAME,TRACK GROUP,TRACK,DOMAIN,TASK,category,,
Alkermes,WINTEL DOMAIN,Citrix,Powershell,Generate Monthly Performance Analysis report,automatable,,
Alkermes,WINTEL DOMAIN,Citrix,"Tools, Optibot, Python & Misc",Alerts for Servers,automatable,,
Alkermes,WINTEL DOMAIN,Citrix,"Tools, Optibot, Python & Misc",Citrix Servers Auto Reboot,automatable,,
Ann Taylor,WINTEL DOMAIN,GAM,Powershell,Duplicate account validation and user id suggestion,automatable,,
Ann Taylor,WINTEL DOMAIN,GAM,Powershell,All temporary user account has to be extended for every 30days.,automatable,,
Ann Taylor,WINTEL DOMAIN,GAM,Powershell,Daily new hire and termination validation,automatable,,
Ann Taylor,WINTEL DOMAIN,"AD, DNS",Powershell,Creating/Deleting/disable User/machine Accounts,automatable,,
Ann Taylor,WINTEL DOMAIN,"AD, DNS",Powershell,AD object Count,automatable,,
Ann Taylor,WINTEL DOMAIN,"AD, DNS",Powershell,AD Report generation for predefined paramters in CSV format,automatable,,
Ann Taylor,UNIX DOMAIN,Unix,ShellScript,Hardening Linux OS ,automatable,,
Ann Taylor,UNIX DOMAIN,UNIX & Linux,ShellScript,Reset locked/unlock user account,automatable,,
Ann Taylor,UNIX DOMAIN,Unix,Powershell,Check the File System status ,automatable,,
Ann Taylor,UNIX DOMAIN,Unix,Powershell,check/start/stop/ NFS Demons,automatable,,
Ann Taylor,UNIX DOMAIN,Unix,Powershell,Monitor File System Usage  - using df and du commands,automatable,,
Ann Taylor,UNIX DOMAIN,Unix,ShellScript,"Listing Virtual Memory - swapon,free commands",automatable,,
Ann Taylor,UNIX DOMAIN,Unix,ShellScript,Check Patch/packages,automatable,,
Ann Taylor,UNIX DOMAIN,Unix,ShellScript,collect system config ( physical standalone/vm/cluste node(redhat/suse/vcs)/satellite/DB/SAN coonected),automatable,,
Ann Taylor,UNIX DOMAIN,Unix,ShellScript,Collect system config in RHEL and SUSE template,automatable,,
Ann Taylor,UNIX DOMAIN,Unix,ShellScript,Check print queues template,automatable,,
Ann Taylor,UNIX DOMAIN,Unix,Powershell,View/List System Processes,automatable,,
Ann Taylor,UNIX DOMAIN,Unix,Powershell,"Check Jombie process - using  top,ps commands.",automatable,,
Ann Taylor,UNIX DOMAIN,Unix,ShellScript,Export/Un-export NFS filesystems,automatable,,
Ann Taylor,UNIX DOMAIN,Unix,ShellScript,Configure syslog Messaging,automatable,,
Ann Taylor,UNIX DOMAIN,Unix,"Tools, Optibot, Python & Misc",Configure and Monitor Bonding/Bridge/Bridge Bonding - (3 predefined parameters ),automatable,,
Ann Taylor,UNIX DOMAIN,Unix,Powershell,Analysis of performance utilization  - based on disk and cpu usage ,automatable,,
Ann Taylor,UNIX DOMAIN,Unix,ShellScript,scan LUNs ( local and Storage disk) details,automatable,,
Ann Taylor,UNIX DOMAIN,Unix,ShellScript,List Disk details and their atrribs (UUID) ,automatable,,
Ann Taylor,UNIX DOMAIN,Unix,ShellScript,List HBA and their ports,automatable,,
Ann Taylor,UNIX DOMAIN,Unix,ShellScript,Persisten naming for SAN Lun - On systems not using multipath ,automatable,,
Ann Taylor,UNIX DOMAIN,Unix,ShellScript,Enable and diable multipath,automatable,,
Ann Taylor,UNIX DOMAIN,Unix,ShellScript,Sendmail Client configuration,automatable,,
Ann Taylor,UNIX DOMAIN,Unix,ShellScript,Listing all the Host Bus Adapters including iSCSI,automatable,,
Ann Taylor,STORAGE AND BACKUP DOMAIN,Storage,Powershell,Zone Configuration backup,automatable,,
Ann Taylor,STORAGE AND BACKUP DOMAIN,Storage,Powershell,SRM LUN validation,automatable,,
Ann Taylor,STORAGE AND BACKUP DOMAIN,Storage,"Tools, Optibot, Python & Misc",Performance report for 3PAR,automatable,,
Ann Taylor,STORAGE AND BACKUP DOMAIN,Storage,"Tools, Optibot, Python & Misc",Switch port health report,automatable,,
Ann Taylor,STORAGE AND BACKUP DOMAIN,Storage,"Tools, Optibot, Python & Misc",Storage space utilization report,automatable,,
Ann Taylor,STORAGE AND BACKUP DOMAIN,Storage,"Tools, Optibot, Python & Misc",Switch port utilization report,automatable,,
Ann Taylor,STORAGE AND BACKUP DOMAIN,Storage,"Tools, Optibot, Python & Misc",Host and LUN ID report from 3PAR,automatable,,
Ann Taylor,STORAGE AND BACKUP DOMAIN,Storage,"Tools, Optibot, Python & Misc",Storage map update,automatable,,
Ann Taylor,STORAGE AND BACKUP DOMAIN,Storage,"Tools, Optibot, Python & Misc",Storage inactive host report,automatable,,
Ann Taylor,STORAGE AND BACKUP DOMAIN,Storage,"Tools, Optibot, Python & Misc",Inactivie zone report,automatable,,
Ann Taylor,STORAGE AND BACKUP DOMAIN,Storage,"Tools, Optibot, Python & Misc",Serverwise space utilization report,automatable,,
Ann Taylor,STORAGE AND BACKUP DOMAIN,Storage,"Tools, Optibot, Python & Misc",SAN switch port up down status,automatable,,
Ann Taylor,DATABASE DOMAIN,Oracle ,ShellScript,Automatic DB startup after server restart for 12c DBs,automatable,,
Ann Taylor,DATABASE DOMAIN,Oracle ,ShellScript,Automatic DB startup after server restart for 11g DBs,automatable,,
Ann Taylor,DATABASE DOMAIN,Oracle ,ShellScript,Privilege Provisioning for DB Users,automatable,,
Ann Taylor,DATABASE DOMAIN,Oracle ,"Tools, Optibot, Python & Misc",export of schemas,automatable,,
Ann Taylor,DATABASE DOMAIN,Oracle ,"Tools, Optibot, Python & Misc",import of schemas,automatable,,
Ann Taylor,DATABASE DOMAIN,Oracle ,ShellScript,Check database status  ,automatable,,
Ann Taylor,DATABASE DOMAIN,Oracle ,ShellScript,Check listener status,automatable,,
Ann Taylor,DATABASE DOMAIN,Oracle ,ShellScript,Check log files for errors,automatable,,
Ann Taylor,DATABASE DOMAIN,Oracle ,ShellScript,Tablespace  - monitors tablespace using the predefined db query,automatable,,
Ann Taylor,DATABASE DOMAIN,Oracle ,"Tools, Optibot, Python & Misc",Mount points where Oracle data files located,automatable,,
Ann Taylor,DATABASE DOMAIN,Oracle ,"Tools, Optibot, Python & Misc",Mount points where Oracle Home is located,automatable,,
Ann Taylor,DATABASE DOMAIN,Oracle ,ShellScript,Generating AWR report,automatable,,
Ann Taylor,DATABASE DOMAIN,Oracle ,"Tools, Optibot, Python & Misc",Add/Modify/Delete DB link,automatable,,
Ann Taylor,DATABASE DOMAIN,Oracle ,ShellScript,"Maintenance of log files (Alert, Listener, Trace etc.)",automatable,,
Ann Taylor,DATABASE DOMAIN,Oracle ,ShellScript,Monitor blocking sessions,automatable,,
Ann Taylor,DATABASE DOMAIN,Oracle ,ShellScript,Monthly Audit SOX Report,automatable,,
Ann Taylor,NETWORKS DOMAIN,Networks Data,"Tools, Optibot, Python & Misc",BGP state change alert,automatable,,
Ann Taylor,NETWORKS DOMAIN,Networks Data,"Tools, Optibot, Python & Misc",EIGRP state change alert ,automatable,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",Discover the system as part of domain network,automatable,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",Identify the scope of operating system version,automatable,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",Altiris agent remote install for windows workstations and windows servers,automatable,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",Plugins component install for windows workstations and windows servers,automatable,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",Create a filter for pilot group of systems and windows development servers,automatable,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",Create a filter for production windows workstations  and windows production servers,automatable,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",To check the agent health status,automatable,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",To check agent last configuration scan date,automatable,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",Ensure that all the mandatory roles are installed,automatable,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",Download the monthly security updates from microsoft to altiris catalog,automatable,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",Select the security updates and create a patch policy,automatable,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",Target the monthly patch policy to respective filters,automatable,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",Create a patch schedule policy and target to respective filter,automatable,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",set the force reboot policy to windows workstations,automatable,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",monitor the patch compliance report for targeted filters,automatable,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",Validate the patch compliance and reboot status for workstations and windows servers,automatable,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",Validate the reboot confirmation using reboot script and Patch report from altiris console ,automatable,,
Ann Taylor,TOOLS DOMAIN,Altiris,"Tools, Optibot, Python & Misc",send the reboot status report to DC operation team,automatable,,
Ann Taylor,WINTEL DOMAIN,Windows,Powershell,Disk space alerts,automatable,,
Ann Taylor,WINTEL DOMAIN,Windows,Powershell,CPU & Memory usage report ,automatable,,
Ann Taylor,WINTEL DOMAIN,Windows,"Tools, Optibot, Python & Misc",Firmware Installation/Upgrade,automatable,,
Ann Taylor,WINTEL DOMAIN,Windows,Powershell,Data store status check,automatable,,
Ann Taylor,WINTEL DOMAIN,Wintel,"Tools, Optibot, Python & Misc",Creating VMs using Templates,automatable,,
Ann Taylor,WINTEL DOMAIN,Vmware,"Tools, Optibot, Python & Misc",Host Profile Configuration,automatable,,
Ann Taylor,WINTEL DOMAIN,Vmware,"Tools, Optibot, Python & Misc","VMware alert - Host, Memory and Data store Disk Usage",automatable,,
Ann Taylor,WINTEL DOMAIN,Windows,Powershell,c drive cleanup,automatable,,
Ann Taylor,NETWORKS DOMAIN,Network Voice,"Tools, Optibot, Python & Misc",CUCM critical services monitoring,automatable,,
Ann Taylor,NETWORKS DOMAIN,Network Voice,"Tools, Optibot, Python & Misc",911 Alert Monitoring,automatable,,
Ann Taylor,NETWORKS DOMAIN,Network Voice,"Tools, Optibot, Python & Misc",Call Forwarding in IP Phones,automatable,,
Becton Dickinson,WINTEL DOMAIN,AD,Powershell,AD Replication status,automatable,,
Becton Dickinson,WINTEL DOMAIN,AD,Powershell,DNS Health Status,automatable,,
Becton Dickinson,WINTEL DOMAIN,AD,Powershell,SPN creation,automatable,,
Becton Dickinson,WINTEL DOMAIN,AD,Powershell,SPN Delegation,automatable,,
Becton Dickinson,WINTEL DOMAIN,AD,Powershell,Account Lockout,automatable,,
Becton Dickinson,WINTEL DOMAIN,AD,Powershell,Password reset for Non user account,automatable,,
Becton Dickinson,WINTEL DOMAIN,AD,"Tools, Optibot, Python & Misc",GPO Backup,automatable,,
Becton Dickinson,WINTEL DOMAIN,AD,Powershell,LDAP Testings,automatable,,
Becton Dickinson,WINTEL DOMAIN,AD,Powershell,Domain Controller Unavailable,automatable,,
Becton Dickinson,WINTEL DOMAIN,AD,Powershell,Domain Controller monitoring,automatable,,
Becton Dickinson,WINTEL DOMAIN,"AD, DNS","Tools, Optibot, Python & Misc",Creating/Deleting/disable User/machine Accounts,automatable,,
Becton Dickinson,WINTEL DOMAIN,AD,Powershell,Time Sync check & resync,automatable,,
Becton Dickinson,WINTEL DOMAIN,AD,"Tools, Optibot, Python & Misc",Moving the users from on OU to another OU,automatable,,
Becton Dickinson,WINTEL DOMAIN,AD,Powershell,FRS/DFSR replication Status,automatable,,
Becton Dickinson,WINTEL DOMAIN,AD,Powershell,Creating the resource record under DNS,automatable,,
Becton Dickinson,WINTEL DOMAIN,"AD, DNS",Powershell,AD object Count,automatable,,
Becton Dickinson,WINTEL DOMAIN,AD,Powershell,Local Admin group management by GPO,automatable,,
Becton Dickinson,STORAGE AND BACKUP DOMAIN,Backup & Restore,K-ShellScript,Daily Health check -Actions ,automatable,,
Becton Dickinson,STORAGE AND BACKUP DOMAIN,Backup & Restore,ShellScript,Drive HP.ULTRIUM* is Down,automatable,,
Becton Dickinson,STORAGE AND BACKUP DOMAIN,Backup & Restore,Powershell,NBU-CATALOG-BACKUP completed  on client,automatable,,
Becton Dickinson,STORAGE AND BACKUP DOMAIN,Backup & Restore,BashShellScript,NBU completed  on client with Exit Status 58,automatable,,
Becton Dickinson,STORAGE AND BACKUP DOMAIN,Backup & Restore,ShellScript,Backup failure due to access issue,automatable,,
Becton Dickinson,STORAGE AND BACKUP DOMAIN,Backup & Restore,Powershell,Netback Service Recycle,automatable,,
Becton Dickinson,STORAGE AND BACKUP DOMAIN,Backup & Restore,Powershell,Netbackup client upgrade,automatable,,
Becton Dickinson,STORAGE AND BACKUP DOMAIN,Backup & Restore,K-ShellScript,Ad-hoc backup request,automatable,,
Becton Dickinson,STORAGE AND BACKUP DOMAIN,Backup & Restore,Powershell,Backup status reporting,automatable,,
Becton Dickinson,WINTEL DOMAIN,Citrix,Powershell,XenApp Servers Logons and Loads Report Analysis,automatable,,
Becton Dickinson,WINTEL DOMAIN,Citrix,Powershell,XenApp Servers Vdisk Cache & Drive Space report,automatable,,
Becton Dickinson,WINTEL DOMAIN,Citrix,"Tools, Optibot, Python & Misc",XenApp Server Scheduled Reboot,automatable,,
Becton Dickinson,SD AND DATACENTER DOMAIN,DC Ops,"Tools, Optibot, Python & Misc",Cisco Prime alerts via Spectrum,automatable,,
Becton Dickinson,SD AND DATACENTER DOMAIN,DC Ops,"Tools, Optibot, Python & Misc",Alerts from Email,automatable,,
Becton Dickinson,SD AND DATACENTER DOMAIN,DC Ops,"Tools, Optibot, Python & Misc",HP-SIM hardware alerts monitoring,automatable,,
Becton Dickinson,SD AND DATACENTER DOMAIN,DC Ops,Powershell,Alert Acknowledgement,automatable,,
Becton Dickinson,SD AND DATACENTER DOMAIN,DC Ops,"Tools, Optibot, Python & Misc",Reports Daily,automatable,,
Becton Dickinson,SD AND DATACENTER DOMAIN,DC Ops,"Tools, Optibot, Python & Misc",Reports Weekly,automatable,,
Becton Dickinson,WINTEL DOMAIN,GAM,Powershell,GMB Access,automatable,,
Becton Dickinson,WINTEL DOMAIN,GAM,Powershell,DL Access,automatable,,
Becton Dickinson,MESSAGING DOMAIN,Messaging,Powershell,InterDomain Mailbox Move,automatable,,
